ticker,date,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,delta,option_value_per_bond,option_value_pct
KRG,2021-03-22,19.38,23.6117,40.7998,1.0898,6.026,6.634916,0.643151,281.0006,28.100064
KRG,2021-03-23,18.82,23.6117,41.5834,1.0544,6.0233,6.411744,0.636499,271.5489,27.154892
KRG,2021-03-24,18.71,23.6117,37.0915,1.0341,6.0205,5.562329,0.605623,235.5747,23.557465
KRG,2021-03-25,19.48,23.6117,32.67,1.0328,6.0178,5.216347,0.594,220.9217,22.09217
KRG,2021-03-26,19.88,23.6117,45.379,1.0563,6.0151,7.776972,0.676807,329.3688,32.936876
KRG,2021-03-29,19.23,23.6117,39.2836,1.0907,6.0068,6.265154,0.631055,265.3406,26.534055
KRG,2021-03-30,20.01,23.6117,41.4545,1.1052,6.0041,7.173082,0.658988,303.793,30.379295
KRG,2021-03-31,19.29,23.6117,37.8738,1.1233,6.0014,6.062393,0.62451,256.7533,25.675327
KRG,2021-04-01,19.79,23.6117,42.2659,1.1054,5.9986,7.165484,0.659168,303.4712,30.347116
KRG,2021-04-05,19.66,23.6117,40.865,1.1293,5.9877,6.825094,0.649123,289.055,28.905503
KRG,2021-04-06,20.13,23.6117,39.3542,1.0869,5.9849,6.850136,0.648981,290.1156,29.01156
KRG,2021-04-07,19.74,23.6117,34.7472,1.0778,5.9822,5.740321,0.613491,243.1129,24.311291
KRG,2021-04-08,19.52,23.6117,36.5567,1.0506,5.9795,5.925092,0.618977,250.9383,25.093831
KRG,2021-04-09,19.64,23.6117,36.2655,1.0635,5.9767,5.946533,0.619983,251.8464,25.184637
KRG,2021-04-12,19.76,23.6117,34.5359,1.0777,5.9685,5.7055,0.612339,241.6382,24.163821
KRG,2021-04-13,19.68,23.6117,35.8391,1.049,5.9658,5.881439,0.617649,249.0895,24.908952
KRG,2021-04-14,19.59,23.6117,36.9397,1.0496,5.963,6.023949,0.622301,255.1251,25.51251
KRG,2021-04-15,19.99,23.6117,58.1857,1.0021,5.9603,9.950042,0.737656,421.4022,42.14022
KRG,2021-04-16,19.89,23.6117,36.4697,1.0111,5.9576,6.107883,0.624833,258.6798,25.867983
KRG,2021-04-19,19.78,23.6117,37.0187,1.0199,5.9493,6.135474,0.625708,259.8484,25.984837
KRG,2021-04-20,19.84,23.6117,39.0532,0.9997,5.9466,6.54211,0.638495,277.0701,27.707013
KRG,2021-04-21,20.25,23.6117,37.8491,0.9878,5.9439,6.586571,0.639786,278.9531,27.895315
KRG,2021-04-22,20.04,23.6117,37.934,0.9846,5.9411,6.459709,0.635728,273.5803,27.358029
KRG,2021-04-23,20.54,23.6117,35.8175,0.9967,5.9384,6.395523,0.634611,270.8619,27.08619
KRG,2021-04-26,20.62,23.6117,38.342,1.0036,5.9302,6.922146,0.650069,293.1653,29.316534
KRG,2021-04-27,20.91,23.6117,39.163,1.0301,5.9274,7.278294,0.660468,308.2489,30.824887
KRG,2021-04-28,20.82,23.6117,33.9172,1.0317,5.9247,6.22039,0.630856,263.4447,26.344473
KRG,2021-04-29,20.96,23.6117,37.892,1.0388,5.922,7.072296,0.655021,299.5245,29.952447
KRG,2021-04-30,20.81,23.6117,46.2262,1.0387,5.9192,8.498616,0.693399,359.9317,35.993167
KRG,2021-05-03,21.38,23.6117,53.1105,1.0221,5.911,10.095479,0.731217,427.5617,42.756171
KRG,2021-05-04,21.18,23.6117,47.0327,1.0078,5.9083,8.881967,0.701795,376.1673,37.61673
KRG,2021-05-05,20.95,23.6117,48.0052,0.989,5.9055,8.884617,0.702567,376.2795,37.627953
KRG,2021-05-06,21.22,23.6117,48.1946,0.9837,5.9028,9.104252,0.707063,385.5815,38.558146
KRG,2021-05-07,21.58,23.6117,46.9288,0.9765,5.9001,9.125649,0.70624,386.4877,38.648767
KRG,2021-05-10,21.1,23.6117,39.1095,0.9876,5.8919,7.35455,0.662039,311.4784,31.147845
KRG,2021-05-11,20.53,23.6117,51.11,1.0001,5.8891,9.116718,0.71084,386.1094,38.610942
KRG,2021-05-12,19.73,23.6117,51.7623,1.0435,5.8864,8.664704,0.703366,366.9658,36.69658
KRG,2021-05-13,20.05,23.6117,42.3508,1.0357,5.8836,7.253088,0.66034,307.1813,30.718135
KRG,2021-05-14,20.56,23.6117,34.7457,1.02,5.8809,6.177435,0.628398,261.6255,26.162549
KRG,2021-05-17,20.41,23.6117,40.6695,1.0205,5.8727,7.179249,0.657523,304.0541,30.405414
KRG,2021-05-18,20.28,23.6117,34.147,1.0156,5.87,5.872424,0.618089,248.7077,24.870774
KRG,2021-05-19,20.13,23.6117,52.8782,1.0404,5.8672,9.122541,0.71373,386.356,38.635604
KRG,2021-05-20,20.1,23.6117,28.1741,1.0148,5.8645,4.640968,0.576039,196.5534,19.655335
KRG,2021-05-21,20.26,23.6117,36.1489,1.0128,5.8617,6.231016,0.629107,263.8947,26.389473
KRG,2021-05-24,20.47,23.6117,35.7402,0.9988,5.8535,6.28134,0.630883,266.0261,26.602607
KRG,2021-05-25,20.24,23.6117,48.3594,0.9676,5.8508,8.397502,0.692207,355.6493,35.564932
KRG,2021-05-26,20.99,23.6117,29.0284,0.9638,5.848,5.300144,0.603661,224.4706,22.447064
KRG,2021-05-27,21.12,23.6117,37.072,0.9801,5.8453,6.948496,0.651013,294.2813,29.42813
KRG,2021-05-28,21.2,23.6117,30.7906,0.9665,5.8426,5.778794,0.619088,244.7423,24.474231
KRG,2021-06-01,21.62,23.6117,37.6756,0.9823,5.8316,7.385655,0.663366,312.7958,31.27958
KRG,2021-06-02,22.05,23.6117,33.4429,0.9733,5.8289,6.840516,0.651622,289.7081,28.970815
KRG,2021-06-03,22.02,23.6117,53.4566,0.9985,5.8261,10.539093,0.737829,446.3496,44.634958
KRG,2021-06-04,21.8,23.6117,44.9998,0.9634,5.8234,8.863827,0.699122,375.399,37.539904
KRG,2021-06-07,22.46,23.6117,38.2061,0.9585,5.8152,8.023289,0.679816,339.8007,33.980073
KRG,2021-06-08,22.87,23.6117,37.8416,0.9368,5.8125,8.212905,0.68464,347.8313,34.783132
KRG,2021-06-09,23.02,23.6117,26.8559,0.9121,5.8097,6.084523,0.64286,257.6905,25.769049
KRG,2021-06-10,22.99,23.6117,39.3985,0.8849,5.807,8.569989,0.691603,362.9545,36.295446
KRG,2021-06-11,22.92,23.6117,34.7413,0.8925,5.8042,7.608799,0.671739,322.2463,32.224633
KRG,2021-06-14,23.07,23.6117,42.1084,0.9168,5.796,9.151763,0.703977,387.5936,38.759363
KRG,2021-06-15,23.0,23.6117,40.8617,0.9248,5.7933,8.866496,0.698173,375.5121,37.551207
KRG,2021-06-16,22.81,23.6117,34.6431,0.985,5.7906,7.550432,0.671393,319.7744,31.977439
KRG,2021-06-17,22.09,23.6117,37.2887,0.9834,5.7878,7.592678,0.669408,321.5636,32.15636
KRG,2021-06-18,21.34,23.6117,38.6112,0.9654,5.7851,7.338398,0.661367,310.7943,31.079435
KRG,2021-06-21,22.06,23.6117,35.6687,0.9772,5.7769,7.249801,0.661202,307.0421,30.704213
KRG,2021-06-22,21.84,23.6117,30.7087,0.9619,5.7741,6.126753,0.632649,259.479,25.947903
KRG,2021-06-23,21.85,23.6117,24.6901,0.9701,5.7714,4.925899,0.602602,208.6207,20.862069
KRG,2021-06-24,21.81,23.6117,34.9661,0.9764,5.7687,6.944655,0.652847,294.1186,29.411863
KRG,2021-06-25,22.1,23.6117,43.083,1.0001,5.7659,8.686191,0.694838,367.8758,36.787583
KRG,2021-06-28,21.93,23.6117,51.1393,0.9761,5.7577,10.006216,0.725675,423.7813,42.378126
KRG,2021-06-29,21.95,23.6117,41.2806,0.9703,5.755,8.228537,0.683857,348.4933,34.849334
KRG,2021-06-30,22.01,23.6117,50.0249,0.9495,5.7522,9.853237,0.721555,417.3023,41.730231
KRG,2021-07-01,22.09,23.6117,40.6489,0.9595,5.7495,8.195864,0.683027,347.1096,34.710958
KRG,2021-07-02,21.7,23.6117,41.4296,0.9373,5.7467,8.068927,0.679601,341.7336,34.173358
KRG,2021-07-06,21.67,23.6117,39.6092,0.8885,5.7358,7.68117,0.669427,325.3114,32.531138
KRG,2021-07-07,21.27,23.6117,51.0679,0.8544,5.7331,9.463324,0.714672,400.7888,40.078882
KRG,2021-07-08,20.7,23.6117,54.8875,0.8194,5.7303,9.688748,0.723646,410.3359,41.033592
KRG,2021-07-09,21.5,23.6117,46.4944,0.8506,5.7276,8.812332,0.697383,373.2181,37.321812
KRG,2021-07-12,21.9,23.6117,43.5721,0.8654,5.7194,8.553845,0.690421,362.2707,36.227075
KRG,2021-07-13,21.34,23.6117,52.0125,0.8966,5.7166,9.676189,0.719953,409.804,40.980404
KRG,2021-07-14,21.3,23.6117,35.0126,0.8685,5.7139,6.542194,0.638729,277.0737,27.707369
KRG,2021-07-15,21.19,23.6117,33.1677,0.8357,5.7112,6.101464,0.625578,258.408,25.840796
KRG,2021-07-16,20.83,23.6117,37.6131,0.8322,5.7084,6.710282,0.641668,284.1925,28.419251
KRG,2021-07-19,18.75,23.6117,44.2536,0.7618,5.7002,6.507831,0.636785,275.6184,27.561836
KRG,2021-07-20,19.7,23.6117,36.107,0.751,5.6975,5.669033,0.605969,240.0938,24.009377
KRG,2021-07-21,19.84,23.6117,48.196,0.784,5.6947,7.91023,0.678173,335.0125,33.501246
KRG,2021-07-22,19.16,23.6117,38.8595,0.7745,5.692,5.842198,0.612139,247.4276,24.74276
KRG,2021-07-23,19.38,23.6117,35.3062,0.7862,5.6893,5.352285,0.594519,226.6789,22.66789
KRG,2021-07-26,19.68,23.6117,35.3167,0.7895,5.681,5.521298,0.601229,233.8369,23.38369
KRG,2021-07-27,20.01,23.6117,24.127,0.7671,5.6783,3.638192,0.530147,154.084,15.408399
KRG,2021-07-28,19.88,23.6117,34.4027,0.7678,5.6756,5.460578,0.599287,231.2653,23.12653
KRG,2021-07-29,20.18,23.6117,24.8441,0.777,5.6728,3.864957,0.541835,163.6879,16.368787
